Grapheme	IPA
a	a
A	a
ä	ə
ae	ai̯
au	au̯
b	b
d	d
dd	ɖʐ
e	e
g	ɡ
i	i
ɨ	ɪ
k	k
l	l
ll	ɽ
m	m
n	n
ng	ŋ
ny	ɲ
o	o
oe	oi̯
p	p
r	r
s	s
t	t
tt	ʈʂ
u	u
ui	w i
w	w
y	j
z	z
