ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Transcription,AlternativeValue,AlternativeTranscription
endepapuanewguinea-1-550-1,,endepapuanewguinea,1-550,gwara,gwara,,,Lindsey2019,,,standardorth,ɡwara,phonetic
endepapuanewguinea-1-560-1,,endepapuanewguinea,1-560,ddɨddɨl,ddɨddɨl,,,Lindsey2019,,,standardorth,ɖᶼɪɖᶼɪl,phonetic
endepapuanewguinea-1-570-1,,endepapuanewguinea,1-570,gwara,gwara,,,Lindsey2019,,,standardorth,ɡwara,phonetic
endepapuanewguinea-1-580-1,,endepapuanewguinea,1-580,kämag,kämag,,,Lindsey2019,,,standardorth,kəmaɡ,phonetic
endepapuanewguinea-1-590-1,,endepapuanewguinea,1-590,me,me,,,Lindsey2019,,,standardorth,me,phonetic
endepapuanewguinea-1-610-1,,endepapuanewguinea,1-610,indrang,indrang,,also: to,Lindsey2019,,,standardorth,indraŋ,phonetic
endepapuanewguinea-1-620-1,,endepapuanewguinea,1-620,särem,särem,,,Lindsey2019,,,standardorth,sərem,phonetic
endepapuanewguinea-1-630-1,,endepapuanewguinea,1-630,gäba,gäba,,,Lindsey2019,,,standardorth,ɡəba,phonetic
endepapuanewguinea-1-640-1,,endepapuanewguinea,1-640,gɨgɨb,gɨgɨb,,,Lindsey2019,,,standardorth,ɡɪɡɪb,phonetic
endepapuanewguinea-1-710-1,,endepapuanewguinea,1-710,amtet,amtet,,also: tɨn,Lindsey2019,,,standardorth,amtet,phonetic
endepapuanewguinea-1-720-1,,endepapuanewguinea,1-720,wel,wel,,,Lindsey2019,,,standardorth,wel,phonetic
endepapuanewguinea-1-730-1,,endepapuanewguinea,1-730,ddapall käkan,ddapall käkan,,,Lindsey2019,,,standardorth,ɖᶼapaɽ kəkan,phonetic
endepapuanewguinea-1-740-1,,endepapuanewguinea,1-740,ibe,ibe,,,Lindsey2019,,,standardorth,ibe,phonetic
endepapuanewguinea-1-750-1,,endepapuanewguinea,1-750,yogoll,yogoll,,,Lindsey2019,,,standardorth,joɡoɽ,phonetic
endepapuanewguinea-1-780-1,,endepapuanewguinea,1-780,yäbäd,yäbäd,,,Lindsey2019,,,standardorth,jəbəd,phonetic
endepapuanewguinea-1-810-1,,endepapuanewguinea,1-810,yu,yu,,,Lindsey2019,,,standardorth,ju,phonetic
endepapuanewguinea-1-820-1,,endepapuanewguinea,1-820,yu dumbrel,yu dumbrel,,,Lindsey2019,,,standardorth,ju dumbrel,phonetic
endepapuanewguinea-1-830-1,,endepapuanewguinea,1-830,ikllo,ikllo,,,Lindsey2019,,,standardorth,ikɽo,phonetic
endepapuanewguinea-1-840-1,,endepapuanewguinea,1-840,yu kuib,yu kuib,,"also: yu moep, yu tärkmoll",Lindsey2019,,,standardorth,ju kwib,phonetic
endepapuanewguinea-1-841-1,,endepapuanewguinea,1-841,bäng,bäng,,,Lindsey2019,,,standardorth,bəŋ,phonetic
endepapuanewguinea-1-851-1,,endepapuanewguinea,1-851,penongg,penongg,,,Lindsey2019,,,standardorth,penoŋɡ,phonetic
endepapuanewguinea-1-852-1,,endepapuanewguinea,1-852,penongg,penongg,,,Lindsey2019,,,standardorth,penoŋɡ,phonetic
endepapuanewguinea-1-860-1,,endepapuanewguinea,1-860,udaude,udaude,,,Lindsey2019,,,standardorth,udawde,phonetic
endepapuanewguinea-1-861-1,,endepapuanewguinea,1-861,säs,säs,,,Lindsey2019,,,standardorth,səs,phonetic
endepapuanewguinea-1-870-1,,endepapuanewguinea,1-870,mällät käp,mällät käp,,also: yu bäng,Lindsey2019,,,standardorth,məɽət kəp,phonetic
endepapuanewguinea-1-880-1,,endepapuanewguinea,1-880,yu,yu,,,Lindsey2019,,,standardorth,ju,phonetic
endepapuanewguinea-1-890-1,,endepapuanewguinea,1-890,yu tärkmoll,yu tärkmoll,,,Lindsey2019,,,standardorth,ju tərkmoɽ,phonetic
endepapuanewguinea-2-100-1,,endepapuanewguinea,2-100,lla,lla,,,Lindsey2019,,,standardorth,ɽa,phonetic
endepapuanewguinea-2-210-1,,endepapuanewguinea,2-210,lla,lla,,,Lindsey2019,,,standardorth,ɽa,phonetic
endepapuanewguinea-2-220-1,,endepapuanewguinea,2-220,mälla,mälla,,,Lindsey2019,,,standardorth,məɽa,phonetic
endepapuanewguinea-2-230-1,,endepapuanewguinea,2-230,lla,lla,,,Lindsey2019,,,standardorth,ɽa,phonetic
endepapuanewguinea-2-240-1,,endepapuanewguinea,2-240,mälla,mälla,,,Lindsey2019,,,standardorth,məɽa,phonetic
endepapuanewguinea-2-250-1,,endepapuanewguinea,2-250,llɨg,llɨg,,,Lindsey2019,,,standardorth,ɽɪɡ,phonetic
endepapuanewguinea-2-251-1,,endepapuanewguinea,2-251,llɨg pollo,llɨg pollo,,,Lindsey2019,,,standardorth,ɽɪɡ poɽo,phonetic
endepapuanewguinea-2-260-1,,endepapuanewguinea,2-260,män,män,,,Lindsey2019,,,standardorth,mən,phonetic
endepapuanewguinea-2-261-1,,endepapuanewguinea,2-261,män duwar,män duwar,,,Lindsey2019,,,standardorth,mən duwar,phonetic
endepapuanewguinea-2-270-1,,endepapuanewguinea,2-270,llɨg,llɨg,,,Lindsey2019,,,standardorth,ɽɪɡ,phonetic
