ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Transcription,AlternativeValue,AlternativeTranscription
endepapuanewguinea-3-980-1,,endepapuanewguinea,3-980,kottllam,kottllam,,,Lindsey2019,,,standardorth,koʈᶳɽam,phonetic
endepapuanewguinea-4-110-1,,endepapuanewguinea,4-110,pätt,pätt,,,Lindsey2019,,,standardorth,pəʈᶳ,phonetic
endepapuanewguinea-4-120-1,,endepapuanewguinea,4-120,ttoe,ttoe,,,Lindsey2019,,,standardorth,ʈᶳoj,phonetic
endepapuanewguinea-4-130-1,,endepapuanewguinea,4-130,midd,midd,,,Lindsey2019,,,standardorth,miɖᶼ,phonetic
endepapuanewguinea-4-140-1,,endepapuanewguinea,4-140,kom,kom,,,Lindsey2019,,,standardorth,kom,phonetic
endepapuanewguinea-4-142-1,,endepapuanewguinea,4-142,ttatt kom,ttatt kom,,,Lindsey2019,,,standardorth,ʈᶳaʈᶳ kom,phonetic
endepapuanewguinea-4-144-1,,endepapuanewguinea,4-144,pälkom,pälkom,,,Lindsey2019,,,standardorth,pəlkom,phonetic
endepapuanewguinea-4-146-1,,endepapuanewguinea,4-146,bun dänräp,bun dänräp,,,Lindsey2019,,,standardorth,bun dənrəp,phonetic
endepapuanewguinea-4-150-1,,endepapuanewguinea,4-150,mam,mam,,,Lindsey2019,,,standardorth,mam,phonetic
endepapuanewguinea-4-151-1,,endepapuanewguinea,4-151,petron,petron,,,Lindsey2019,,,standardorth,petron,phonetic
endepapuanewguinea-4-160-1,,endepapuanewguinea,4-160,kutt,kutt,,,Lindsey2019,,,standardorth,kuʈᶳ,phonetic
endepapuanewguinea-4-162-1,,endepapuanewguinea,4-162,tätän kutt,tätän kutt,,,Lindsey2019,,,standardorth,tətən kuʈᶳ,phonetic
endepapuanewguinea-4-170-1,,endepapuanewguinea,4-170,täkäll,täkäll,,,Lindsey2019,,,standardorth,təkəɽ,phonetic
endepapuanewguinea-4-180-1,,endepapuanewguinea,4-180,sära,sära,,,Lindsey2019,,,standardorth,səra,phonetic
endepapuanewguinea-4-190-1,,endepapuanewguinea,4-190,ddäg,ddäg,,,Lindsey2019,,,standardorth,ɖᶼəɡ,phonetic
endepapuanewguinea-4-191-1,,endepapuanewguinea,4-191,ddäg kutt,ddäg kutt,,,Lindsey2019,,,standardorth,ɖᶼəɡ kuʈᶳ,phonetic
endepapuanewguinea-4-200-1,,endepapuanewguinea,4-200,bun,bun,,,Lindsey2019,,,standardorth,bun,phonetic
endepapuanewguinea-4-201-1,,endepapuanewguinea,4-201,intot,intot,,brow. Also: mittäpa (side of head),Lindsey2019,,,standardorth,intot,phonetic
endepapuanewguinea-4-202-1,,endepapuanewguinea,4-202,bun kutt,bun kutt,,,Lindsey2019,,,standardorth,bun kuʈᶳ,phonetic
endepapuanewguinea-4-203-1,,endepapuanewguinea,4-203,mulkul,mulkul,,,Lindsey2019,,,standardorth,mulkul,phonetic
endepapuanewguinea-4-204-1,,endepapuanewguinea,4-204,ingoll,ingoll,,,Lindsey2019,,,standardorth,iŋoɽ,phonetic
endepapuanewguinea-4-205-1,,endepapuanewguinea,4-205,yätt,yätt,,,Lindsey2019,,,standardorth,jəʈᶳ,phonetic
endepapuanewguinea-4-207-1,,endepapuanewguinea,4-207,ttatt,ttatt,,,Lindsey2019,,,standardorth,ʈᶳaʈᶳ,phonetic
endepapuanewguinea-4-208-1,,endepapuanewguinea,4-208,ttatt,ttatt,,,Lindsey2019,,,standardorth,ʈᶳaʈᶳ,phonetic
endepapuanewguinea-4-209-1,,endepapuanewguinea,4-209,mittapa,mittapa,,,Lindsey2019,,,standardorth,miʈᶳapa,phonetic
endepapuanewguinea-4-210-1,,endepapuanewguinea,4-210,ikop,ikop,,,Lindsey2019,,,standardorth,ikop,phonetic
endepapuanewguinea-4-212-1,,endepapuanewguinea,4-212,intot,intot,,,Lindsey2019,,,standardorth,intot,phonetic
endepapuanewguinea-4-213-1,,endepapuanewguinea,4-213,ikop ttoe,ikop ttoe,,,Lindsey2019,,,standardorth,ikop ʈᶳoj,phonetic
endepapuanewguinea-4-214-1,,endepapuanewguinea,4-214,ikop kom,ikop kom,,,Lindsey2019,,,standardorth,ikop kom,phonetic
endepapuanewguinea-4-220-1,,endepapuanewguinea,4-220,llan kollkoll,llan kollkoll,,,Lindsey2019,,,standardorth,ɽan koɽkoɽ,phonetic
endepapuanewguinea-4-222-1,,endepapuanewguinea,4-222,llan källa,llan källa,,,Lindsey2019,,,standardorth,ɽan kəɽa,phonetic
endepapuanewguinea-4-230-1,,endepapuanewguinea,4-230,mälläng,mälläng,,,Lindsey2019,,,standardorth,məɽəŋ,phonetic
endepapuanewguinea-4-231-1,,endepapuanewguinea,4-231,mälläng ik,mälläng ik,,,Lindsey2019,,,standardorth,məɽəŋ ik,phonetic
endepapuanewguinea-4-232-1,,endepapuanewguinea,4-232,mällpe,mällpe,,,Lindsey2019,,,standardorth,məɽpe,phonetic
endepapuanewguinea-4-240-1,,endepapuanewguinea,4-240,bod,bod,,,Lindsey2019,,,standardorth,bod,phonetic
endepapuanewguinea-4-241-1,,endepapuanewguinea,4-241,bod,bod,,,Lindsey2019,,,standardorth,bod,phonetic
endepapuanewguinea-4-250-1,,endepapuanewguinea,4-250,bod ttoe,bod ttoe,,,Lindsey2019,,,standardorth,bod ʈᶳoj,phonetic
endepapuanewguinea-4-260-1,,endepapuanewguinea,4-260,dägmar,dägmar,,,Lindsey2019,,,standardorth,dəɡmar,phonetic
endepapuanewguinea-4-270-1,,endepapuanewguinea,4-270,ngoe,ngoe,,,Lindsey2019,,,standardorth,ŋoj,phonetic
endepapuanewguinea-4-271-1,,endepapuanewguinea,4-271,ngoe midd,ngoe midd,,,Lindsey2019,,,standardorth,ŋoj miɖᶼ,phonetic
endepapuanewguinea-4-280-1,,endepapuanewguinea,4-280,inkätt,inkätt,,,Lindsey2019,,,standardorth,inkəʈᶳ,phonetic
endepapuanewguinea-4-281-1,,endepapuanewguinea,4-281,kote,kote,,,Lindsey2019,,,standardorth,kote,phonetic
endepapuanewguinea-4-290-1,,endepapuanewguinea,4-290,inkätt,inkätt,,,Lindsey2019,,,standardorth,inkəʈᶳ,phonetic
endepapuanewguinea-4-300-1,,endepapuanewguinea,4-300,matta,matta,,,Lindsey2019,,,standardorth,maʈᶳa,phonetic
endepapuanewguinea-4-301-1,,endepapuanewguinea,4-301,poder,poder,,,Lindsey2019,,,standardorth,poder,phonetic
endepapuanewguinea-4-302-1,,endepapuanewguinea,4-302,bagama kutt,bagama kutt,,,Lindsey2019,,,standardorth,baɡama kuʈᶳ,phonetic
endepapuanewguinea-4-310-1,,endepapuanewguinea,4-310,ttang pätt,ttang pätt,,,Lindsey2019,,,standardorth,ʈᶳaŋ pəʈᶳ,phonetic
endepapuanewguinea-4-312-1,,endepapuanewguinea,4-312,olmapänyik,olmapänyik,,,Lindsey2019,,,standardorth,olmapəɲik,phonetic
endepapuanewguinea-4-320-1,,endepapuanewguinea,4-320,ttang kum,ttang kum,,,Lindsey2019,,,standardorth,ʈᶳaŋ kum,phonetic
endepapuanewguinea-4-321-1,,endepapuanewguinea,4-321,kapän,kapän,,,Lindsey2019,,,standardorth,kapən,phonetic
endepapuanewguinea-4-330-1,,endepapuanewguinea,4-330,ttang,ttang,,,Lindsey2019,,,standardorth,ʈᶳaŋ,phonetic
endepapuanewguinea-4-331-1,,endepapuanewguinea,4-331,ttang päk,ttang päk,,,Lindsey2019,,,standardorth,ʈᶳaŋ pək,phonetic
endepapuanewguinea-4-340-1,,endepapuanewguinea,4-340,ttang lläpät,ttang lläpät,,,Lindsey2019,,,standardorth,ʈᶳaŋ ɽəpət,phonetic
endepapuanewguinea-4-342-1,,endepapuanewguinea,4-342,mända,mända,,,Lindsey2019,,,standardorth,mənda,phonetic
endepapuanewguinea-4-344-1,,endepapuanewguinea,4-344,ttang lläbe,ttang lläbe,,,Lindsey2019,,,standardorth,ʈᶳaŋ ɽəbe,phonetic
endepapuanewguinea-4-345-1,,endepapuanewguinea,4-345,lläpät,lläpät,,,Lindsey2019,,,standardorth,ɽəpət,phonetic
endepapuanewguinea-4-350-1,,endepapuanewguinea,4-350,ttäle,ttäle,,,Lindsey2019,,,standardorth,ʈᶳəle,phonetic
endepapuanewguinea-4-351-1,,endepapuanewguinea,4-351,bäll,bäll,,,Lindsey2019,,,standardorth,bəɽ,phonetic
endepapuanewguinea-4-360-1,,endepapuanewguinea,4-360,tubu,tubu,,,Lindsey2019,,,standardorth,tubu,phonetic
endepapuanewguinea-4-370-1,,endepapuanewguinea,4-370,nying,nying,,,Lindsey2019,,,standardorth,ɲiŋ,phonetic
endepapuanewguinea-4-372-1,,endepapuanewguinea,4-372,ttäle kum,ttäle kum,,,Lindsey2019,,,standardorth,ʈᶳəle kum,phonetic
endepapuanewguinea-4-374-1,,endepapuanewguinea,4-374,ibima,ibima,,,Lindsey2019,,,standardorth,ibima,phonetic
endepapuanewguinea-4-380-1,,endepapuanewguinea,4-380,nying lläpät,nying lläpät,,,Lindsey2019,,,standardorth,ɲiŋ ɽəpət,phonetic
endepapuanewguinea-4-392-1,,endepapuanewguinea,4-392,ddamba,ddamba,,,Lindsey2019,,,standardorth,ɖᶼamba,phonetic
endepapuanewguinea-4-393-1,,endepapuanewguinea,4-393,kom,kom,,,Lindsey2019,,,standardorth,kom,phonetic
endepapuanewguinea-4-400-1,,endepapuanewguinea,4-400,ddäll,ddäll,,,Lindsey2019,,,standardorth,ɖᶼəɽ,phonetic
endepapuanewguinea-4-410-1,,endepapuanewguinea,4-410,ngam,ngam,,,Lindsey2019,,,standardorth,ŋam,phonetic
endepapuanewguinea-4-412-1,,endepapuanewguinea,4-412,ngam indäb,ngam indäb,,,Lindsey2019,,,standardorth,ŋam indəb,phonetic
endepapuanewguinea-4-430-1,,endepapuanewguinea,4-430,wänkäm,wänkäm,,,Lindsey2019,,,standardorth,wənkəm,phonetic
endepapuanewguinea-4-440-1,,endepapuanewguinea,4-440,tikop,tikop,,,Lindsey2019,,,standardorth,tikop,phonetic
endepapuanewguinea-4-441-1,,endepapuanewguinea,4-441,pllulli,pllulli,,,Lindsey2019,,,standardorth,pɽuɽi,phonetic
endepapuanewguinea-4-450-1,,endepapuanewguinea,4-450,yo,yo,,,Lindsey2019,,,standardorth,jo,phonetic
endepapuanewguinea-4-451-1,,endepapuanewguinea,4-451,ddokop,ddokop,,,Lindsey2019,,,standardorth,ɖᶼokop,phonetic
endepapuanewguinea-4-452-1,,endepapuanewguinea,4-452,käll,käll,,,Lindsey2019,,,standardorth,kəɽ,phonetic
endepapuanewguinea-4-460-1,,endepapuanewguinea,4-460,käm,käm,,,Lindsey2019,,,standardorth,kəm,phonetic
endepapuanewguinea-4-461-1,,endepapuanewguinea,4-461,dägädägäl,dägädägäl,,,Lindsey2019,,,standardorth,dəɡədəɡəl,phonetic
endepapuanewguinea-4-462-1,,endepapuanewguinea,4-462,gablle,gablle,,,Lindsey2019,,,standardorth,ɡabɽe,phonetic
endepapuanewguinea-4-463-1,,endepapuanewguinea,4-463,pett,pett,,,Lindsey2019,,,standardorth,peʈᶳ,phonetic
endepapuanewguinea-4-464-1,,endepapuanewguinea,4-464,kum,kum,,,Lindsey2019,,,standardorth,kum,phonetic
endepapuanewguinea-4-470-1,,endepapuanewguinea,4-470,llɨg dum,llɨg dum,,,Lindsey2019,,,standardorth,ɽɪɡ dum,phonetic
endepapuanewguinea-4-490-1,,endepapuanewguinea,4-490,kämätt,kämätt,,,Lindsey2019,,,standardorth,kəməʈᶳ,phonetic
endepapuanewguinea-4-492-1,,endepapuanewguinea,4-492,wa,wa,,,Lindsey2019,,,standardorth,wa,phonetic
endepapuanewguinea-4-510-1,,endepapuanewguinea,4-510,amtet,amtet,,,Lindsey2019,,,standardorth,amtet,phonetic
endepapuanewguinea-4-520-1,,endepapuanewguinea,4-520,ttatt wallwall,ttatt wallwall,,,Lindsey2019,,,standardorth,ʈᶳaʈᶳ waɽwaɽ,phonetic
endepapuanewguinea-4-521-1,,endepapuanewguinea,4-521,näk,näk,,,Lindsey2019,,,standardorth,nək,phonetic
endepapuanewguinea-4-530-1,,endepapuanewguinea,4-530,kume,kume,,,Lindsey2019,,,standardorth,kume,phonetic
endepapuanewguinea-4-540-1,,endepapuanewguinea,4-540,mälläng mobod,mälläng mobod,,also: mälläng ine,Lindsey2019,,,standardorth,məɽəŋ mobod,phonetic
endepapuanewguinea-4-550-1,,endepapuanewguinea,4-550,memram,memram,,,Lindsey2019,,,standardorth,memram,phonetic
endepapuanewguinea-4-560-1,,endepapuanewguinea,4-560,bällma,bällma,,,Lindsey2019,,,standardorth,bəɽma,phonetic
endepapuanewguinea-4-570-1,,endepapuanewguinea,4-570,mäny,mäny,,,Lindsey2019,,,standardorth,məɲ,phonetic
endepapuanewguinea-4-580-1,,endepapuanewguinea,4-580,ddäddäg,ddäddäg,,,Lindsey2019,,,standardorth,ɖᶼəɖᶼəɡ,phonetic
endepapuanewguinea-4-590-1,,endepapuanewguinea,4-590,mirmir,mirmir,,,Lindsey2019,,,standardorth,mirmir,phonetic
endepapuanewguinea-4-591-1,,endepapuanewguinea,4-591,sära dämbaemeny,sära dämbaemeny,,,Lindsey2019,,,standardorth,səra dəmbajmeɲ,phonetic
endepapuanewguinea-4-610-1,,endepapuanewguinea,4-610,yunu,yunu,,,Lindsey2019,,,standardorth,junu,phonetic
endepapuanewguinea-4-612-1,,endepapuanewguinea,4-612,mälläng gänggram,mälläng gänggram,,,Lindsey2019,,,standardorth,məɽəŋ ɡəŋɡram,phonetic
endepapuanewguinea-4-620-1,,endepapuanewguinea,4-620,yon,yon,,,Lindsey2019,,,standardorth,jon,phonetic
endepapuanewguinea-4-630-1,,endepapuanewguinea,4-630,ngällbän,ngällbän,,,Lindsey2019,,,standardorth,ŋəɽbən,phonetic
endepapuanewguinea-4-650-1,,endepapuanewguinea,4-650,suwe ttätt,suwe ttätt,,,Lindsey2019,,,standardorth,suwe ʈᶳəʈᶳ,phonetic
endepapuanewguinea-4-660-1,,endepapuanewguinea,4-660,käm tot,käm tot,,,Lindsey2019,,,standardorth,kəm tot,phonetic
endepapuanewguinea-4-670-1,,endepapuanewguinea,4-670,liglig,liglig,,,Lindsey2019,,,standardorth,liɡliɡ,phonetic
endepapuanewguinea-4-680-1,,endepapuanewguinea,4-680,bäblem,bäblem,,also: kutt tataem,Lindsey2019,,,standardorth,bəblem,phonetic
endepapuanewguinea-4-690-1,,endepapuanewguinea,4-690,tatu,tatu,,,Lindsey2019,,,standardorth,tatu,phonetic
endepapuanewguinea-4-710-1,,endepapuanewguinea,4-710,ngasnges,ngasnges,,,Lindsey2019,,,standardorth,ŋasŋes,phonetic
endepapuanewguinea-4-720-1,,endepapuanewguinea,4-720,zeg,zeg,,,Lindsey2019,,,standardorth,zeɡ,phonetic
endepapuanewguinea-4-730-1,,endepapuanewguinea,4-730,kämang,kämang,,,Lindsey2019,,,standardorth,kəmaŋ,phonetic
endepapuanewguinea-4-732-1,,endepapuanewguinea,4-732,käm ngälladab,käm ngälladab,,also: näkäp totoe,Lindsey2019,,,standardorth,kəm ŋəɽadab,phonetic
endepapuanewguinea-4-740-1,,endepapuanewguinea,4-740,ttam giddoll,ttam giddoll,,,Lindsey2019,,,standardorth,ʈᶳam ɡiɖᶼoɽ,phonetic
endepapuanewguinea-4-750-1,,endepapuanewguinea,4-750,kuddäll,kuddäll,,,Lindsey2019,,,standardorth,kuɖᶼəɽ,phonetic
endepapuanewguinea-4-751-1,,endepapuanewguinea,4-751,mänddmändd,mänddmändd,,also: ddänddäm,Lindsey2019,,,standardorth,mənɖᶼmənɖᶼ,phonetic
endepapuanewguinea-4-760-1,,endepapuanewguinea,4-760,gäz,gäz,,,Lindsey2019,,,standardorth,ɡəz,phonetic
endepapuanewguinea-4-770-1,,endepapuanewguinea,4-770,lla pätt,lla pätt,,,Lindsey2019,,,standardorth,ɽa pəʈᶳ,phonetic
endepapuanewguinea-4-780-1,,endepapuanewguinea,4-780,au,au,,,Lindsey2019,,,standardorth,aw,phonetic
endepapuanewguinea-4-790-1,,endepapuanewguinea,4-790,auma,auma,,,Lindsey2019,,,standardorth,awma,phonetic
endepapuanewguinea-4-810-1,,endepapuanewguinea,4-810,mängall,mängall,,,Lindsey2019,,,standardorth,məŋaɽ,phonetic
endepapuanewguinea-4-820-1,,endepapuanewguinea,4-820,mängallmeny,mängallmeny,,,Lindsey2019,,,standardorth,məŋaɽmeɲ,phonetic
endepapuanewguinea-4-830-1,,endepapuanewguinea,4-830,ai,ai,,"also: mer, damong",Lindsey2019,,,standardorth,ai,phonetic
endepapuanewguinea-4-840-1,,endepapuanewguinea,4-840,itrell,itrell,,also: ttattlle,Lindsey2019,,,standardorth,itreɽ,phonetic
endepapuanewguinea-4-841-1,,endepapuanewguinea,4-841,ugri,ugri,,also: ttänttäm,Lindsey2019,,,standardorth,uɡri,phonetic
endepapuanewguinea-4-842-1,,endepapuanewguinea,4-842,kote täkop,kote täkop,,,Lindsey2019,,,standardorth,kote təkop,phonetic
endepapuanewguinea-4-843-1,,endepapuanewguinea,4-843,kallkäll,kallkäll,,also: kädkäd,Lindsey2019,,,standardorth,kaɽkəɽ,phonetic
endepapuanewguinea-4-850-1,,endepapuanewguinea,4-850,wäte,wäte,,,Lindsey2019,,,standardorth,wəte,phonetic
endepapuanewguinea-4-852-1,,endepapuanewguinea,4-852,päd,päd,,,Lindsey2019,,,standardorth,pəd,phonetic
endepapuanewguinea-4-853-1,,endepapuanewguinea,4-853,tätäb,tätäb,,,Lindsey2019,,,standardorth,tətəb,phonetic
endepapuanewguinea-4-854-1,,endepapuanewguinea,4-854,kokllo,kokllo,,,Lindsey2019,,,standardorth,kokɽo,phonetic
endepapuanewguinea-4-855-1,,endepapuanewguinea,4-855,piyepiye,piyepiye,,,Lindsey2019,,,standardorth,pijepije,phonetic
endepapuanewguinea-4-856-1,,endepapuanewguinea,4-856,wän,wän,,,Lindsey2019,,,standardorth,wən,phonetic
endepapuanewguinea-4-857-1,,endepapuanewguinea,4-857,piye,piye,,,Lindsey2019,,,standardorth,pije,phonetic
endepapuanewguinea-4-858-1,,endepapuanewguinea,4-858,päd,päd,,also: bor,Lindsey2019,,,standardorth,pəd,phonetic
endepapuanewguinea-4-860-1,,endepapuanewguinea,4-860,ai,ai,,also: ngällbän,Lindsey2019,,,standardorth,ai,phonetic
endepapuanewguinea-4-880-1,,endepapuanewguinea,4-880,muramura,muramura,,also: meresin,Lindsey2019,,,standardorth,muramura,phonetic
endepapuanewguinea-4-890-1,,endepapuanewguinea,4-890,mängall,mängall,,,Lindsey2019,,,standardorth,məŋaɽ,phonetic
endepapuanewguinea-4-910-1,,endepapuanewguinea,4-910,llowam,llowam,,,Lindsey2019,,,standardorth,ɽowam,phonetic
endepapuanewguinea-4-912-1,,endepapuanewguinea,4-912,sipel,sipel,,,Lindsey2019,,,standardorth,sipel,phonetic
endepapuanewguinea-4-920-1,,endepapuanewguinea,4-920,mängallmeny,mängallmeny,,also: dämbag,Lindsey2019,,,standardorth,məŋaɽmeɲ,phonetic
endepapuanewguinea-4-930-1,,endepapuanewguinea,4-930,podd,podd,,,Lindsey2019,,,standardorth,poɖᶼ,phonetic
endepapuanewguinea-4-940-1,,endepapuanewguinea,4-940,ibiminy,ibiminy,,,Lindsey2019,,,standardorth,ibimiɲ,phonetic
endepapuanewguinea-4-950-1,,endepapuanewguinea,4-950,llan ttomoll,llan ttomoll,,,Lindsey2019,,,standardorth,ɽan ʈᶳomoɽ,phonetic
endepapuanewguinea-4-960-1,,endepapuanewguinea,4-960,ekameny,ekameny,,,Lindsey2019,,,standardorth,ekameɲ,phonetic
endepapuanewguinea-4-970-1,,endepapuanewguinea,4-970,ikop songgorag,ikop songgorag,,,Lindsey2019,,,standardorth,ikop soŋɡoraɡ,phonetic
endepapuanewguinea-4-980-1,,endepapuanewguinea,4-980,ine konkon me,ine konkon me,,,Lindsey2019,,,standardorth,ine konkon me,phonetic
endepapuanewguinea-4-990-1,,endepapuanewguinea,4-990,mäsemäse,mäsemäse,,,Lindsey2019,,,standardorth,məseməse,phonetic
endepapuanewguinea-5-110-1,,endepapuanewguinea,5-110,wätät,wätät,,also: duwem,Lindsey2019,,,standardorth,wətət,phonetic
endepapuanewguinea-5-120-1,,endepapuanewguinea,5-120,wätät,wätät,,,Lindsey2019,,,standardorth,wətət,phonetic
endepapuanewguinea-5-121-1,,endepapuanewguinea,5-121,yuatt,yuatt,,,Lindsey2019,,,standardorth,juaʈᶳ,phonetic
endepapuanewguinea-5-122-1,,endepapuanewguinea,5-122,kire,kire,,,Lindsey2019,,,standardorth,kire,phonetic
endepapuanewguinea-5-123-1,,endepapuanewguinea,5-123,o,o,,,Lindsey2019,,,standardorth,o,phonetic
endepapuanewguinea-5-124-1,,endepapuanewguinea,5-124,mäse,mäse,,also: kire,Lindsey2019,,,standardorth,məse,phonetic
endepapuanewguinea-5-125-1,,endepapuanewguinea,5-125,zozo,zozo,,,Lindsey2019,,,standardorth,zozo,phonetic
endepapuanewguinea-5-130-1,,endepapuanewguinea,5-130,nane,nane,,,Lindsey2019,,,standardorth,nane,phonetic
endepapuanewguinea-5-140-1,,endepapuanewguinea,5-140,wätätang,wätätang,,also: wätät miye,Lindsey2019,,,standardorth,wətətaŋ,phonetic
endepapuanewguinea-5-141-1,,endepapuanewguinea,5-141,kämoe,kämoe,,,Lindsey2019,,,standardorth,kəmoj,phonetic
endepapuanewguinea-5-150-1,,endepapuanewguinea,5-150,ine,ine,,,Lindsey2019,,,standardorth,ine,phonetic
endepapuanewguinea-5-160-1,,endepapuanewguinea,5-160,mikmik,mikmik,,,Lindsey2019,,,standardorth,mikmik,phonetic
endepapuanewguinea-5-180-1,,endepapuanewguinea,5-180,kaekep,kaekep,,,Lindsey2019,,,standardorth,kajkep,phonetic
endepapuanewguinea-5-181-1,,endepapuanewguinea,5-181,ngänyngäny,ngänyngäny,,,Lindsey2019,,,standardorth,ŋəɲŋəɲ,phonetic
endepapuanewguinea-5-190-1,,endepapuanewguinea,5-190,poper ingkoengg,poper ingkoengg,,,Lindsey2019,,,standardorth,poper iŋkojŋɡ,phonetic
endepapuanewguinea-5-210-1,,endepapuanewguinea,5-210,yu,yu,,,Lindsey2019,,,standardorth,ju,phonetic
endepapuanewguinea-5-220-1,,endepapuanewguinea,5-220,sespen,sespen,,,Lindsey2019,,,standardorth,sespen,phonetic
endepapuanewguinea-5-230-1,,endepapuanewguinea,5-230,bir,bir,,,Lindsey2019,,,standardorth,bir,phonetic
endepapuanewguinea-5-240-1,,endepapuanewguinea,5-240,ugug,ugug,,,Lindsey2019,,,standardorth,uɡuɡ,phonetic
endepapuanewguinea-5-250-1,,endepapuanewguinea,5-250,ttägäll,ttägäll,,,Lindsey2019,,,standardorth,ʈᶳəɡəɽ,phonetic
endepapuanewguinea-5-260-1,,endepapuanewguinea,5-260,sespen,sespen,,,Lindsey2019,,,standardorth,sespen,phonetic
endepapuanewguinea-5-270-1,,endepapuanewguinea,5-270,ketol,ketol,,,Lindsey2019,,,standardorth,ketol,phonetic
endepapuanewguinea-5-280-1,,endepapuanewguinea,5-280,pen,pen,,,Lindsey2019,,,standardorth,pen,phonetic
endepapuanewguinea-5-310-1,,endepapuanewguinea,5-310,dis,dis,,,Lindsey2019,,,standardorth,dis,phonetic
endepapuanewguinea-5-320-1,,endepapuanewguinea,5-320,pilatt,pilatt,,,Lindsey2019,,,standardorth,pilaʈᶳ,phonetic
endepapuanewguinea-5-330-1,,endepapuanewguinea,5-330,boul,boul,,,Lindsey2019,,,standardorth,boul,phonetic
endepapuanewguinea-5-350-1,,endepapuanewguinea,5-350,kap,kap,,,Lindsey2019,,,standardorth,kap,phonetic
endepapuanewguinea-5-360-1,,endepapuanewguinea,5-360,sosa,sosa,,,Lindsey2019,,,standardorth,sosa,phonetic
endepapuanewguinea-5-370-1,,endepapuanewguinea,5-370,dägmar,dägmar,,,Lindsey2019,,,standardorth,dəɡmar,phonetic
endepapuanewguinea-5-380-1,,endepapuanewguinea,5-380,giri,giri,,,Lindsey2019,,,standardorth,ɡiri,phonetic
endepapuanewguinea-5-390-1,,endepapuanewguinea,5-390,pok,pok,,,Lindsey2019,,,standardorth,pok,phonetic
endepapuanewguinea-5-391-1,,endepapuanewguinea,5-391,gabma komony,gabma komony,,,Lindsey2019,,,standardorth,gabma komoɲ,phonetic
endepapuanewguinea-5-410-1,,endepapuanewguinea,5-410,duwem,duwem,,,Lindsey2019,,,standardorth,duwem,phonetic
endepapuanewguinea-5-420-1,,endepapuanewguinea,5-420,ag duwem,ag duwem,,,Lindsey2019,,,standardorth,aɡ duwem,phonetic
endepapuanewguinea-5-430-1,,endepapuanewguinea,5-430,yäbäd tuktuk duwem,yäbäd tuktuk duwem,,,Lindsey2019,,,standardorth,jəbəd tuktuk duwem,phonetic
endepapuanewguinea-5-440-1,,endepapuanewguinea,5-440,toto duwem,toto duwem,,,Lindsey2019,,,standardorth,toto duwem,phonetic
endepapuanewguinea-5-460-1,,endepapuanewguinea,5-460,kokop,kokop,,,Lindsey2019,,,standardorth,kokop,phonetic
endepapuanewguinea-5-480-1,,endepapuanewguinea,5-480,kokllo,kokllo,,,Lindsey2019,,,standardorth,kokɽo,phonetic
endepapuanewguinea-5-490-1,,endepapuanewguinea,5-490,nyänggae,nyänggae,,,Lindsey2019,,,standardorth,ɲəŋɡaj,phonetic
endepapuanewguinea-5-510-1,,endepapuanewguinea,5-510,sana,sana,,,Lindsey2019,,,standardorth,sana,phonetic
endepapuanewguinea-5-560-1,,endepapuanewguinea,5-560,pape,pape,,,Lindsey2019,,,standardorth,pape,phonetic
endepapuanewguinea-5-610-1,,endepapuanewguinea,5-610,ddäddäg,ddäddäg,,,Lindsey2019,,,standardorth,ɖᶼəɖᶼəɡ,phonetic
endepapuanewguinea-5-640-1,,endepapuanewguinea,5-640,iddi,iddi,,,Lindsey2019,,,standardorth,iɖᶼi,phonetic
endepapuanewguinea-5-650-1,,endepapuanewguinea,5-650,ttängäm wätät,ttängäm wätät,,,Lindsey2019,,,standardorth,ʈᶳəŋəm wətət,phonetic
endepapuanewguinea-5-660-1,,endepapuanewguinea,5-660,tamatama,tamatama,,,Lindsey2019,,,standardorth,tamatama,phonetic
endepapuanewguinea-5-710-1,,endepapuanewguinea,5-710,käp,käp,,,Lindsey2019,,,standardorth,kəp,phonetic
endepapuanewguinea-5-712-1,,endepapuanewguinea,5-712,däg,däg,,,Lindsey2019,,,standardorth,dəɡ,phonetic
endepapuanewguinea-5-790-1,,endepapuanewguinea,5-790,owel,owel,,,Lindsey2019,,,standardorth,owel,phonetic
endepapuanewguinea-5-791-1,,endepapuanewguinea,5-791,gi,gi,,,Lindsey2019,,,standardorth,gi,phonetic
endepapuanewguinea-5-810-1,,endepapuanewguinea,5-810,bile,bile,,also: pag,Lindsey2019,,,standardorth,bile,phonetic
endepapuanewguinea-5-821-1,,endepapuanewguinea,5-821,sele,sele,,,Lindsey2019,,,standardorth,sele,phonetic
endepapuanewguinea-5-840-1,,endepapuanewguinea,5-840,winy,winy,,,Lindsey2019,,,standardorth,wiɲ,phonetic
endepapuanewguinea-5-850-1,,endepapuanewguinea,5-850,suga,suga,,,Lindsey2019,,,standardorth,suɡa,phonetic
endepapuanewguinea-5-900-1,,endepapuanewguinea,5-900,ine,ine,,,Lindsey2019,,,standardorth,ine,phonetic
endepapuanewguinea-5-920-1,,endepapuanewguinea,5-920,tuba,tuba,,coconut wine,Lindsey2019,,,standardorth,tuba,phonetic
